Gender,Name,Nationality,Age,Height,Weight,Occupation,Kids,Dish
F,Sophie,Canada,22,172,91,Business,0,Pizza
M,Sam,Japan,26,162,62,Literature,3,Hamburger
F,Jamie,Germany,29,166,66,Theater,1,Garlic butter naans
F,Charlie,Russia,29,175,81,Finance,3,Pizza
F,Elsa,Germany,22,188,106,Biology,3,Sushi
F,Hannah,Italy,29,173,80,Medecine,3,Sushi
M,Kim,Italy,23,152,86,Unemployed,0,Hamburger
M,Louis,France,21,153,57,Teaching,1,Kebab
F,Sophie,Italy,21,159,93,Theater,0,Kebab
F,Kim,Italy,28,180,118,Finance,0,Salad
F,Charlie,South Africa,30,160,77,Literature,0,Salad
M,Valentin,Germany,25,183,102,Literature,2,Garlic butter naans
M,Roy,Spain,27,175,73,Unemployed,0,Sushi
M,Jamie,Sweden,24,186,105,Literature,0,Salad
M,Kim,China,20,150,65,Unemployed,1,Hamburger
F,Jeanne,Jamaica,20,178,84,Computer Science,3,Spaghetti
F,Sam,China,27,162,66,Medecine,1,Steak
F,Hannah,US,26,179,79,Music,2,Sushi
M,Joel,South Africa,20,152,102,Finance,0,Pizza
F,Sabrina,Russia,24,152,106,Mathematics,1,Fish
F,Charlie,Germany,27,151,101,Physics,1,Hamburger
F,Jamie,Korea,24,160,56,Computer Science,2,Spaghetti
F,Hannah,Chile,26,195,93,Unemployed,3,Gnocchi
F,Jude,Russia,30,164,95,Computer Science,2,Hamburger
M,Roy,Sweden,21,152,72,Finance,3,Sushi
M,Tim,South Africa,28,195,89,Teaching,1,Sushi
M,Sam,Korea,29,151,89,Unemployed,0,Hamburger
F,Jeanne,Russia,22,160,64,Finance,1,Sushi
F,Isabel,South Africa,20,152,55,Business,0,Steak
M,Sofyan,Greece,28,189,102,Unemployed,3,Kebab
F,Jude,Chile,27,166,104,Physics,3,Spaghetti
M,Jamie,UK,28,154,109,Business,3,Kebab
M,Tom,Chile,24,175,89,Physics,3,Spaghetti
M,Jude,Luxembourg,20,165,79,Biology,1,Sushi
M,Jude,Chile,22,157,63,Computer Science,1,Pizza
F,Charlie,Spain,29,186,85,Computer Science,0,Steak
M,Eric,Sweden,28,170,62,Business,2,Fish
M,Louis,Korea,29,159,65,Theater,2,Garlic butter naans
F,Mia,Luxembourg,21,172,82,Mathematics,1,Spaghetti
F,Sabrina,Chile,27,157,78,Teaching,0,Fish
F,Jude,Russia,30,177,102,Physics,3,Sushi
F,Teresa,Sweden,28,160,73,Teaching,3,Hamburger
F,Kim,China,27,169,69,Psychology,1,Garlic butter naans
F,Olivia,Spain,20,180,99,Business,3,Spaghetti
F,Emma,Canada,30,180,102,Business,1,Spaghetti
F,Zoey,Korea,26,191,98,Medecine,1,Spaghetti
M,Tom,Chile,24,156,75,Psychology,0,Steak
F,Ivy,Spain,26,152,96,Finance,3,Salad
M,Louis,Italy,21,181,98,Finance,0,Sushi
F,Lucie,China,25,162,58,Unemployed,0,Fish
F,Jamie,UK,26,183,89,Physics,2,Kebab
M,Joel,China,28,162,114,Biology,3,Pizza
F,Emma,US,22,177,118,Psychology,0,Fish
M,Jim,Russia,30,178,105,Unemployed,0,Hamburger
F,Mia,Greece,27,187,108,Business,3,Spaghetti
F,Lucie,Italy,27,151,46,Music,2,Garlic butter naans
M,Valentin,Spain,26,195,88,Unemployed,2,Spaghetti
F,Hannah,Sweden,22,190,88,Mathematics,2,Salad
F,Olivia,UK,22,153,83,Mathematics,2,Hamburger
M,Yannick,France,21,170,63,Literature,1,Fish
F,Jude,France,26,170,88,Teaching,3,Sushi
M,Kim,US,22,189,88,Psychology,2,Spaghetti
F,Sam,Germany,25,171,111,Mathematics,3,Steak
M,Louis,Spain,21,178,75,Physics,2,Sushi
M,Tim,Russia,28,189,109,Literature,2,Hamburger
M,Joel,Italy,27,164,115,Teaching,3,Steak
F,Zoey,Chile,24,155,100,Business,3,Garlic butter naans
M,Roy,South Africa,24,192,88,Literature,0,Fish
F,Charlie,Canada,25,153,116,Music,3,Hamburger
F,Sara,Sweden,23,164,101,Finance,1,Gnocchi
F,Jeanne,UK,30,177,108,Teaching,0,Spaghetti
M,Joel,South Africa,29,172,111,Mathematics,3,Gnocchi
M,Yannick,Luxembourg,28,187,99,Biology,1,Fish
F,Elsa,Jamaica,25,173,78,Psychology,1,Steak
M,Kevin,Spain,29,176,81,Unemployed,1,Spaghetti
F,Jamie,UK,30,151,98,Computer Science,3,Pizza
F,Sara,Germany,25,183,90,Teaching,3,Kebab
F,Teresa,Spain,21,177,105,Theater,1,Salad
M,Charlie,Italy,28,158,49,Physics,0,Gnocchi
F,Zoey,Korea,28,182,84,Business,1,Salad
F,Sophie,UK,21,162,108,Psychology,2,Gnocchi
F,Mia,Chile,23,161,110,Teaching,1,Pizza
F,Kim,South Africa,25,185,87,Teaching,1,Garlic butter naans
F,Jamie,China,23,180,95,Psychology,2,Sushi
M,Jean,China,25,159,57,Business,1,Salad
F,Charlie,France,30,192,86,Unemployed,2,Pizza
F,Lucie,Japan,28,192,100,Teaching,2,Hamburger
M,Pedro,Canada,24,184,99,Computer Science,0,Fish
F,Sam,US,27,178,111,Physics,1,Kebab
F,Jude,Canada,30,190,92,Music,0,Kebab
F,Hannah,Sweden,27,154,60,Physics,3,Garlic butter naans
F,Sophie,US,30,187,100,Teaching,1,Sushi
F,Sabrina,Chile,23,177,113,Teaching,2,Sushi
F,Ivy,Russia,27,183,81,Psychology,3,Kebab
F,Teresa,France,26,189,113,Theater,0,Garlic butter naans
M,Charlie,France,20,160,60,Music,2,Hamburger
M,Tim,Jamaica,27,168,72,Music,2,Garlic butter naans
M,Charlie,South Africa,22,178,120,Biology,2,Garlic butter naans
F,Zoey,South Africa,28,152,46,Biology,3,Spaghetti
M,Carlos,Spain,30,161,90,Biology,3,Spaghetti
F,Sophie,Japan,25,195,98,Music,3,Steak
M,Kim,Italy,29,181,119,Literature,1,Steak
M,Tom,US,21,177,95,Psychology,3,Sushi
M,Charlie,Sweden,29,187,112,Business,0,Pizza
F,Zoey,UK,28,150,82,Unemployed,0,Pizza
F,Ivy,Greece,25,190,114,Finance,1,Gnocchi
F,Teresa,Germany,29,181,71,Computer Science,3,Sushi
F,Sophie,UK,27,172,88,Teaching,2,Gnocchi
F,Sara,Italy,23,168,95,Medecine,2,Salad
F,Sabrina,South Africa,20,179,80,Unemployed,1,Hamburger
F,Hannah,Italy,26,180,105,Music,2,Fish
M,Joel,South Africa,23,182,118,Literature,2,Kebab
M,Jim,Sweden,21,158,69,Computer Science,2,Kebab
M,Kevin,Spain,24,186,98,Finance,3,Gnocchi
F,Zoey,Korea,25,193,100,Teaching,2,Gnocchi
F,Lucie,Greece,25,179,78,Unemployed,3,Kebab
M,Yannick,Italy,29,159,97,Finance,1,Salad
F,Charlie,Luxembourg,27,177,109,Business,3,Kebab
M,Joel,Spain,28,190,91,Biology,0,Steak
F,Mia,Sweden,24,188,118,Business,2,Gnocchi
F,Sophie,US,23,187,106,Physics,1,Hamburger
M,Kim,China,24,177,71,Literature,2,Garlic butter naans
M,Tim,Italy,22,161,68,Physics,2,Gnocchi
F,Jeanne,Russia,27,184,84,Finance,0,Kebab
F,Charlie,Italy,27,156,118,Theater,2,Salad
M,Roy,Italy,30,191,100,Business,0,Pizza
M,Pedro,Luxembourg,28,190,101,Medecine,1,Spaghetti
M,Kevin,Greece,30,194,87,Mathematics,0,Gnocchi
F,Charlie,China,22,156,67,Literature,0,Hamburger
M,Carlos,US,28,170,92,Finance,3,Pizza
F,Sabrina,Chile,22,191,88,Theater,3,Salad
M,Joel,China,27,187,101,Business,0,Garlic butter naans
F,Sam,Japan,24,155,113,Finance,0,Pizza
F,Teresa,Sweden,21,193,117,Medecine,3,Garlic butter naans
F,Ivy,Chile,20,163,118,Teaching,0,Garlic butter naans
M,Valentin,Germany,27,184,100,Finance,3,Kebab
M,Louis,US,29,172,75,Teaching,0,Gnocchi
F,Jamie,France,25,169,69,Business,2,Salad
M,Jude,US,27,168,113,Psychology,2,Kebab
F,Kim,France,23,178,116,Computer Science,0,Sushi
F,Kim,China,26,179,78,Theater,3,Fish
F,Hannah,US,29,160,75,Teaching,1,Salad
M,Pedro,Luxembourg,22,172,102,Music,1,Fish
F,Isabel,Luxembourg,24,165,58,Psychology,2,Spaghetti
F,Teresa,Canada,25,160,109,Theater,3,Kebab
F,Isabel,France,22,154,94,Psychology,3,Garlic butter naans
M,Sofyan,Canada,29,195,112,Theater,1,Sushi
F,Marie,Luxembourg,28,185,83,Unemployed,2,Garlic butter naans
M,Tim,US,26,193,115,Finance,0,Gnocchi
M,Valentin,Italy,23,190,119,Psychology,0,Kebab
F,Sophie,France,28,178,76,Mathematics,0,Garlic butter naans
F,Charlie,Japan,25,173,80,Teaching,0,Steak
M,Charlie,Sweden,28,151,64,Finance,0,Kebab
F,Sara,US,26,181,72,Music,2,Garlic butter naans
F,Jamie,UK,23,164,120,Medecine,2,Spaghetti
M,Kim,UK,29,169,110,Finance,3,Salad
M,Kim,Italy,22,184,74,Unemployed,0,Salad
F,Lucie,Germany,21,172,84,Literature,3,Salad
M,Jude,Jamaica,30,181,97,Literature,1,Kebab
F,Lucie,France,30,166,100,Literature,0,Gnocchi
F,Jude,Spain,23,185,116,Biology,1,Salad
F,Kim,US,28,183,87,Music,2,Kebab
M,Valentin,Canada,25,159,61,Music,2,Sushi
M,Carlos,Russia,20,158,85,Music,0,Pizza
M,Joel,Russia,23,185,75,Mathematics,2,Garlic butter naans
M,Jim,US,30,191,94,Finance,1,Sushi
M,Roy,Spain,29,159,91,Business,0,Spaghetti
F,Charlie,Japan,22,189,104,Computer Science,1,Kebab
M,Eric,Sweden,30,188,105,Teaching,1,Gnocchi
F,Jude,UK,29,164,94,Unemployed,2,Pizza
F,Charlie,Spain,22,187,106,Computer Science,2,Sushi
F,Jeanne,Korea,30,158,95,Biology,2,Steak
M,Fabio,Germany,30,189,117,Psychology,2,Spaghetti
F,Zoey,Canada,30,159,75,Teaching,1,Salad
M,Kevin,Sweden,30,188,110,Literature,2,Hamburger
F,Jeanne,Korea,28,157,64,Mathematics,0,Hamburger
F,Jeanne,Russia,21,189,81,Theater,0,Gnocchi
M,Fabio,Korea,24,179,103,Theater,3,Kebab
M,Jamie,Greece,30,152,87,Finance,0,Pizza
M,Sofyan,Sweden,27,150,86,Physics,2,Garlic butter naans
M,Valentin,Sweden,27,167,105,Computer Science,0,Kebab
M,Tom,Sweden,21,164,110,Business,1,Pizza
M,Valentin,Germany,27,154,115,Medecine,3,Pizza
M,Kevin,Korea,22,150,60,Physics,0,Salad
F,Kim,Spain,25,180,91,Music,1,Spaghetti
M,Jamie,Chile,30,165,55,Business,0,Hamburger
F,Sam,Luxembourg,23,174,120,Finance,2,Fish
M,Jean,Greece,29,188,79,Psychology,1,Hamburger
M,Sam,Greece,29,193,112,Biology,2,Sushi
F,Marie,Spain,24,150,56,Computer Science,2,Spaghetti
F,Charlie,UK,28,151,98,Finance,2,Garlic butter naans
M,Jean,China,20,159,116,Physics,0,Hamburger
M,Valentin,France,29,163,101,Finance,1,Sushi
F,Ivy,France,21,166,104,Business,1,Pizza
F,Ivy,Spain,24,194,99,Literature,0,Salad
M,Yannick,Sweden,20,170,93,Medecine,1,Steak
F,Sabrina,Germany,28,175,69,Teaching,3,Fish
F,Kim,UK,20,150,108,Computer Science,3,Kebab
M,Jim,Russia,22,172,116,Biology,1,Sushi
M,Joel,China,22,169,69,Biology,3,Spaghetti
M,Tim,US,28,153,63,Computer Science,3,Fish
F,Sam,Sweden,20,152,51,Music,0,Salad
F,Jude,Greece,29,168,65,Teaching,1,Gnocchi
F,Elsa,France,22,167,111,Finance,3,Hamburger
F,Zoey,China,26,165,83,Business,3,Fish
F,Olivia,Chile,25,182,80,Physics,0,Steak
M,Yannick,UK,20,187,102,Psychology,0,Sushi
F,Hannah,China,20,154,64,Finance,1,Spaghetti
F,Emma,Chile,27,195,105,Business,3,Hamburger
M,Jamie,Luxembourg,23,193,92,Teaching,2,Fish
M,Kevin,South Africa,21,190,115,Medecine,3,Salad
F,Sam,Japan,20,171,104,Literature,1,Pizza
M,Sofyan,UK,28,189,110,Business,2,Steak
F,Isabel,UK,29,163,63,Music,3,Kebab
M,Jamie,Jamaica,21,172,91,Music,0,Garlic butter naans
M,Sam,Canada,28,182,110,Teaching,0,Sushi
M,Kevin,Japan,22,170,82,Theater,1,Kebab
F,Kim,Canada,30,191,87,Theater,3,Sushi
F,Sabrina,Canada,25,183,103,Mathematics,2,Kebab
M,Jude,Korea,22,157,91,Psychology,0,Gnocchi
F,Olivia,Canada,24,158,101,Biology,2,Gnocchi
M,Jamie,Sweden,23,183,113,Medecine,0,Sushi
M,Charlie,UK,20,157,78,Theater,2,Pizza
M,Sofyan,Sweden,22,162,78,Mathematics,1,Sushi
F,Jeanne,Luxembourg,26,179,105,Unemployed,0,Salad
M,Carlos,Canada,20,153,57,Biology,0,Pizza
F,Olivia,Italy,26,186,79,Literature,3,Garlic butter naans
M,Jim,Russia,28,180,71,Business,3,Fish
M,Tom,Japan,27,182,117,Computer Science,1,Gnocchi
M,Eric,Japan,28,163,67,Business,2,Fish
F,Jude,Canada,29,161,69,Mathematics,2,Fish
M,Louis,South Africa,21,186,110,Business,3,Fish
F,Jamie,Korea,20,194,100,Music,3,Gnocchi
F,Zoey,Italy,22,151,60,Teaching,0,Salad
F,Zoey,Sweden,27,171,88,Biology,1,Sushi
F,Hannah,UK,21,153,92,Literature,2,Gnocchi
M,Fabio,Germany,23,172,84,Medecine,0,Salad
M,Yannick,Canada,26,178,119,Physics,1,Sushi
F,Marie,UK,25,186,97,Mathematics,2,Pizza
F,Isabel,Sweden,30,175,92,Biology,1,Garlic butter naans
M,Eric,Sweden,23,183,81,Computer Science,1,Pizza
F,Sabrina,Canada,27,158,52,Biology,1,Pizza
F,Jamie,China,26,194,112,Literature,1,Pizza
M,Sofyan,France,29,167,117,Music,1,Steak
F,Sophie,Japan,26,192,88,Physics,3,Gnocchi
F,Marie,Sweden,25,154,61,Biology,0,Garlic butter naans
M,Carlos,Jamaica,30,179,80,Business,2,Gnocchi
M,Joel,Sweden,25,158,58,Physics,3,Spaghetti
M,Jean,China,24,192,85,Mathematics,1,Salad
F,Elsa,Korea,26,168,114,Teaching,2,Kebab
F,Sabrina,US,28,179,96,Unemployed,2,Garlic butter naans
F,Emma,Jamaica,26,165,112,Finance,0,Fish
F,Ivy,Canada,28,158,69,Unemployed,1,Fish
F,Olivia,Sweden,25,174,97,Unemployed,0,Pizza
M,Yannick,Spain,27,154,77,Business,1,Garlic butter naans
F,Kim,France,29,195,90,Medecine,3,Pizza
M,Fabio,UK,29,181,104,Unemployed,2,Fish
M,Valentin,Russia,26,190,84,Computer Science,0,Sushi
